"r_id","itemset"
146,"deciduous"
146,"grass"
146,"lake"
146,"mountain"
146,"rocks"
146,"tree"
146,"trees"
147,"bushes"
147,"deciduous"
147,"path"
147,"river"
147,"tree"
147,"trees"
148,"beach"
148,"clouds"
148,"cumulus"
148,"night"
148,"ocean"
148,"rocks"
148,"waves"
149,"bushes"
149,"cabin"
149,"cirrus"
149,"clouds"
149,"conifer"
149,"deciduous"
149,"grass"
149,"lake"
149,"mountain"
149,"mountains"
149,"structure"
149,"tree"
149,"trees"
150,"bushes"
150,"clouds"
150,"conifer"
150,"cumulus"
150,"deciduous"
150,"grass"
150,"mountain"
150,"river"
150,"snowy_mountain"
150,"tree"
150,"trees"
151,"conifer"
151,"grass"
151,"river"
151,"tree"
151,"trees"
151,"waterfall"
152,"beach"
152,"cirrus"
152,"clouds"
152,"ocean"
152,"palm_trees"
152,"waves"
153,"bushes"
153,"clouds"
153,"conifer"
153,"deciduous"
153,"grass"
153,"mountain"
153,"river"
153,"snowy_mountain"
153,"tree"
153,"trees"
154,"bushes"
154,"conifer"
154,"grass"
154,"mountain"
154,"river"
154,"snowy_mountain"
154,"tree"
154,"trees"
155,"bushes"
155,"clouds"
155,"conifer"
155,"cumulus"
155,"deciduous"
155,"framed"
155,"grass"
155,"mountain"
155,"mountains"
155,"oval_frame"
155,"river"
155,"sun"
155,"tree"
155,"trees"
156,"conifer"
156,"mountain"
156,"mountains"
156,"river"
156,"snow"
156,"snowy_mountain"
156,"tree"
156,"trees"
156,"winter"
157,"bushes"
157,"deciduous"
157,"grass"
157,"hills"
157,"lake"
157,"tree"
157,"trees"
158,"bushes"
158,"cabin"
158,"clouds"
158,"conifer"
158,"lake"
158,"mountain"
158,"mountains"
158,"snow"
158,"snowy_mountain"
158,"structure"
158,"tree"
158,"trees"
158,"winter"
159,"cirrus"
159,"clouds"
159,"deciduous"
159,"framed"
159,"grass"
159,"mountain"
159,"oval_frame"
159,"river"
159,"tree"
159,"trees"
160,"bushes"
160,"cabin"
160,"cirrus"
160,"clouds"
160,"conifer"
160,"deciduous"
160,"river"
160,"rocks"
160,"structure"
160,"tree"
160,"trees"
161,"clouds"
161,"deciduous"
161,"grass"
161,"mountain"
161,"mountains"
161,"river"
161,"rocks"
161,"tree"
161,"trees"
162,"deciduous"
162,"grass"
162,"river"
162,"tree"
162,"trees"
163,"clouds"
163,"conifer"
163,"cumulus"
163,"path"
163,"river"
163,"tree"
163,"trees"
164,"clouds"
164,"conifer"
164,"cumulus"
164,"grass"
164,"mountain"
164,"mountains"
164,"river"
164,"snowy_mountain"
164,"tree"
164,"trees"
165,"bushes"
165,"deciduous"
165,"lake"
165,"tree"
165,"trees"
166,"bushes"
166,"clouds"
166,"conifer"
166,"cumulus"
166,"deciduous"
166,"mountain"
166,"river"
166,"snowy_mountain"
166,"tree"
166,"trees"
167,"cabin"
167,"conifer"
167,"deciduous"
167,"lake"
167,"mountain"
167,"mountains"
167,"snow"
167,"structure"
167,"tree"
167,"trees"
167,"winter"
168,"clouds"
168,"conifer"
168,"framed"
168,"night"
168,"ocean"
168,"oval_frame"
168,"rocks"
168,"tree"
168,"trees"
168,"waves"
169,"conifer"
169,"grass"
169,"lake"
169,"mountain"
169,"mountains"
169,"path"
169,"snowy_mountain"
169,"tree"
169,"trees"
170,"bushes"
170,"clouds"
170,"conifer"
170,"cumulus"
170,"lake"
170,"mountain"
170,"mountains"
170,"path"
170,"snowy_mountain"
170,"tree"
170,"trees"
171,"conifer"
171,"grass"
171,"river"
171,"tree"
171,"trees"
172,"conifer"
172,"deciduous"
172,"framed"
172,"grass"
172,"mountain"
172,"mountains"
172,"night"
172,"oval_frame"
172,"tree"
172,"trees"
173,"cirrus"
173,"clouds"
173,"deciduous"
173,"fence"
173,"snow"
173,"tree"
173,"trees"
173,"winter"
174,"bushes"
174,"clouds"
174,"conifer"
174,"cumulus"
174,"fog"
174,"framed"
174,"mountain"
174,"mountains"
174,"river"
174,"rocks"
174,"tomb_frame"
174,"tree"
174,"trees"
175,"cirrus"
175,"clouds"
175,"conifer"
175,"deciduous"
175,"mountain"
175,"mountains"
175,"river"
175,"snowy_mountain"
175,"tree"
175,"trees"
176,"beach"
176,"clouds"
176,"cumulus"
176,"grass"
176,"ocean"
176,"palm_trees"
176,"waves"
177,"conifer"
177,"mountain"
177,"river"
177,"snow"
177,"snowy_mountain"
177,"sun"
177,"tree"
177,"trees"
177,"winter"
178,"clouds"
178,"cumulus"
178,"deciduous"
178,"framed"
178,"oval_frame"
178,"path"
178,"river"
178,"tree"
178,"trees"
179,"cirrus"
179,"clouds"
179,"deciduous"
179,"guest"
179,"lake"
179,"mountain"
179,"mountains"
179,"snowy_mountain"
179,"steve_ross"
179,"tree"
179,"waterfall"
180,"deciduous"
180,"grass"
180,"lake"
180,"tree"
180,"trees"
181,"clouds"
181,"deciduous"
181,"fog"
181,"framed"
181,"grass"
181,"oval_frame"
181,"tree"
181,"trees"
182,"clouds"
182,"conifer"
182,"cumulus"
182,"deciduous"
182,"grass"
182,"lake"
182,"mountain"
182,"snowy_mountain"
182,"tree"
182,"trees"
183,"bushes"
183,"cirrus"
183,"clouds"
183,"conifer"
183,"deciduous"
183,"snow"
183,"sun"
183,"tree"
183,"trees"
183,"winter"
184,"clouds"
184,"cumulus"
184,"deciduous"
184,"grass"
184,"river"
184,"tree"
184,"trees"
185,"barn"
185,"deciduous"
185,"fence"
185,"grass"
185,"path"
185,"structure"
185,"tree"
185,"trees"
187,"cabin"
187,"cirrus"
187,"clouds"
187,"conifer"
187,"framed"
187,"lake"
187,"mountain"
187,"mountains"
187,"oval_frame"
187,"snowy_mountain"
187,"structure"
187,"tree"
187,"trees"
187,"winter"
188,"beach"
188,"clouds"
188,"cumulus"
188,"ocean"
188,"rocks"
188,"waves"
189,"cabin"
189,"clouds"
189,"conifer"
189,"deciduous"
189,"grass"
189,"lake"
189,"structure"
189,"tree"
189,"trees"
190,"clouds"
190,"cumulus"
190,"deciduous"
190,"grass"
190,"mountain"
190,"mountains"
190,"river"
190,"rocks"
190,"tree"
190,"trees"
191,"cabin"
191,"clouds"
191,"conifer"
191,"cumulus"
191,"mountain"
191,"mountains"
191,"snow"
191,"snowy_mountain"
191,"structure"
191,"tree"
191,"trees"
191,"winter"
192,"bushes"
192,"deciduous"
192,"framed"
192,"grass"
192,"oval_frame"
192,"path"
192,"tree"
192,"trees"
193,"cabin"
193,"deciduous"
193,"grass"
193,"path"
193,"structure"
193,"tree"
193,"trees"
194,"deciduous"
194,"lake"
194,"rocks"
194,"tree"
194,"trees"
195,"cirrus"
195,"clouds"
195,"conifer"
195,"grass"
195,"lake"
195,"mountain"
195,"mountains"
195,"tree"
195,"trees"
196,"clouds"
196,"conifer"
196,"cumulus"
196,"deciduous"
196,"fog"
196,"lake"
196,"mountain"
196,"snowy_mountain"
196,"tree"
196,"trees"
197,"cabin"
197,"deciduous"
197,"grass"
197,"path"
197,"structure"
197,"tree"
197,"trees"
198,"cabin"
198,"clouds"
198,"conifer"
198,"deciduous"
198,"snow"
198,"structure"
198,"tree"
198,"trees"
198,"winter"
199,"bushes"
199,"clouds"
199,"conifer"
199,"cumulus"
199,"fog"
199,"snow"
199,"tree"
199,"trees"
199,"winter"
200,"bushes"
200,"clouds"
200,"conifer"
200,"cumulus"
200,"double_oval_frame"
200,"framed"
200,"lake"
200,"mountain"
200,"mountains"
200,"snowy_mountain"
200,"tree"
200,"trees"
201,"guest"
201,"portrait"
202,"conifer"
202,"river"
202,"rocks"
202,"tree"
202,"trees"
202,"waterfall"
203,"beach"
203,"clouds"
203,"ocean"
203,"palm_trees"
203,"waves"
204,"barn"
204,"conifer"
204,"fence"
204,"framed"
204,"oval_frame"
204,"snow"
204,"structure"
204,"tree"
204,"trees"
204,"winter"
205,"clouds"
205,"deciduous"
205,"guest"
205,"hills"
205,"lake"
205,"steve_ross"
205,"tree"
205,"trees"
206,"bushes"
206,"deciduous"
206,"river"
206,"rocks"
206,"tree"
206,"trees"
206,"waterfall"
207,"clouds"
207,"cumulus"
207,"flowers"
207,"grass"
207,"lake"
207,"mountain"
207,"snowy_mountain"
208,"deciduous"
208,"framed"
208,"oval_frame"
208,"river"
208,"rocks"
208,"tree"
208,"trees"
209,"conifer"
209,"fog"
209,"framed"
209,"oval_frame"
209,"river"
209,"tree"
209,"trees"
210,"cabin"
210,"deciduous"
210,"fence"
210,"grass"
210,"path"
210,"structure"
210,"tree"
211,"deciduous"
211,"grass"
211,"lake"
211,"mountain"
211,"mountains"
211,"tree"
211,"trees"
212,"beach"
212,"clouds"
212,"cumulus"
212,"ocean"
212,"rocks"
212,"sun"
212,"waves"
213,"cabin"
213,"deciduous"
213,"flowers"
213,"framed"
213,"lake"
213,"oval_frame"
213,"structure"
213,"tree"
214,"clouds"
214,"conifer"
214,"deciduous"
214,"river"
214,"snow"
214,"tree"
214,"trees"
214,"winter"
215,"conifer"
215,"mountain"
215,"mountains"
215,"river"
215,"rocks"
215,"tree"
215,"trees"
215,"waterfall"
216,"apple_frame"
216,"bridge"
216,"building"
216,"deciduous"
216,"framed"
216,"lake"
216,"structure"
216,"tree"
216,"trees"
217,"conifer"
217,"deciduous"
217,"flowers"
217,"grass"
217,"guest"
217,"hills"
217,"lake"
217,"steve_ross"
217,"tree"
217,"trees"
218,"deciduous"
218,"mill"
218,"river"
218,"rocks"
218,"structure"
218,"tree"
218,"waterfall"
